bucket,issue
Anti-racist racial issues,Affirmative action (For)
Anti-racist racial issues,Anti-racism
Anti-racist racial issues,Campus climate
Anti-racist racial issues,Cultural appropriation
Anti-racist racial issues,Hate crimes/Anti-minority violence
Anti-racist racial issues,Hate speech
Anti-racist racial issues,Indigenous issues
Anti-racist racial issues,Immigration (For)
Anti-racist racial issues,Police violence
Anti-racist racial issues,Prison/mass incarceration
Anti-racist racial issues,Racial/ethnic pride - minority
Anti-racist racial issues,Racist/racialized symbols
Anti-racist racial issues,Reparations
Anti-racist racial issues,White supremacy (Against)
Racist issues,Affirmative action (Against)
Racist issues,All Lives Matter
Racist issues,Immigration (Against)
Racist issues,Pro-police
Racist issues,Racial/ethnic pride - white
Racist issues,White supremacy (For)
